time,volumeAll,volumeAbove,groundedArea,floatingArea,totalArea,groundedPlusLand,ice_mass,SLE,SLEm,difference,LRF,SMA10
34.0,2.564094650361e+16,2.23997867924e+16,11606128000000.0,1454179000000.0,13060307000000.0,11881252000000.0,20540604.4886308,56773.367851384195,-56.773367851384194,,,
35.0,2.563074403951e+16,2.239908931083e+16,11602276000000.0,1458171000000.0,13060447000000.0,11877381000000.0,20539964.89803111,56771.60004983724,-56.77160004983724,0.0017678015469542174,0.00022097519336927718,
36.0,2.562045432081e+16,2.239819492358e+16,11598123000000.0,1462370000000.0,13060493000000.0,11873196000000.0,20539144.744922858,56769.333181102425,-56.769333181102425,0.002266868734814409,0.0002833585918518011,
37.0,2.561017990518e+16,2.239721631248e+16,11593986000000.0,1466473000000.0,13060459000000.0,11869102000000.0,20538247.35854416,56766.852842852844,-56.76685284285284,0.0024803382495832693,0.00031004228119790866,
38.0,2.560042143368e+16,2.239652608395e+16,11590179000000.0,1470592000000.0,13060771000000.0,11865142000000.0,20537614.418982152,56765.10342449461,-56.76510342449461,0.0017494183582300593,0.00021867729477875741,
39.0,2.5590471716e+16,2.239541352119e+16,11586022000000.0,1474664000000.0,13060686000000.0,11861040000000.0,20536594.19893123,56762.28357913551,-56.76228357913551,0.0028198453590988493,0.00035248066988735616,
40.0,2.558076552949e+16,2.239442757973e+16,11581924000000.0,1478768000000.0,13060692000000.0,11856945000000.0,20535690.09061241,56759.78466172585,-56.759784661725845,0.002498917409667456,0.000312364676208432,
41.0,2.557114514139e+16,2.239330858543e+16,11577591000000.0,1482995000000.0,13060586000000.0,11852631000000.0,20534663.97283931,56756.948515310425,-56.75694851531043,0.002836146415418739,0.00035451830192734235,
42.0,2.556184013155e+16,2.239236136716e+16,11573272000000.0,1487275000000.0,13060547000000.0,11848371000000.0,20533795.37368572,56754.54774374163,-56.754547743741625,0.002400771568801474,0.00030009644610018427,
43.0,2.555290714703e+16,2.239136035136e+16,11569049000000.0,1491520000000.0,13060569000000.0,11844100000000.0,20532877.44219712,56752.010619671426,-56.752010619671424,0.0025371240702014575,0.0003171405087751822,
44.0,2.554450535183e+16,2.239050522788e+16,11565042000000.0,1495844000000.0,13060886000000.0,11839825000000.0,20532093.29396596,56749.84326690426,-56.74984326690426,0.0021673527671666193,0.0002709190958958274,0.0002940573059992069
45.0,2.553581919252e+16,2.2389278426e+16,11560548000000.0,1500154000000.0,13060702000000.0,11835485000000.0,20530968.316642,56746.733876843566,-56.746733876843564,0.003109390060693329,0.0003886737575866661,0.0003108271624209458
46.0,2.552763678018e+16,2.23882725674e+16,11556425000000.0,1504576000000.0,13061001000000.0,11831189000000.0,20530045.9443058,56744.18447845716,-56.74418447845716,0.002549398386406665,0.0003186747983008331,0.00031435878306584897
47.0,2.551935434174e+16,2.238711887817e+16,11551859000000.0,1509070000000.0,13060929000000.0,11826716000000.0,20528988.01128189,56741.26039602512,-56.74126039602512,0.002924082432038233,0.00036551030400477913,0.000319905585346536
48.0,2.551126398573e+16,2.238604985898e+16,11547600000000.0,1513269000000.0,13060869000000.0,11822459000000.0,20528007.720684662,56738.550913998515,-56.738550913998516,0.0027094820266029274,0.0003386852533253659,0.0003319063812011969
49.0,2.550336864301e+16,2.238495805403e+16,11543392000000.0,1517567000000.0,13060959000000.0,11818166000000.0,20527006.535545513,56735.78368033586,-56.73578368033586,0.0027672336626594074,0.0003459042078324259,0.00033124873499570386
